名稱,地址,聯絡電話,提供洗澡的時段及備註,資料來源
圖 方便 背包客民宿,花蓮市國民三街34號,0912779530/ 0910550801,,https://www.threads.com/@evt143/post/DPInywSiQIM?xmt=AQF0tocSI1bKfPlvK_PB_d-SG9AnaLy1xzMzhYRFNdJvVg
小旅行迷你公寓,花蓮縣花蓮市國聯一路103號,LINE: @mini103,即日起至 10/3,https://www.facebook.com/share/v/1YUfJbjYtG/
光復鄉幼兒園,花蓮縣光復鄉6巷8號,-,多座行動沐浴車; 上午10:00-10:30(男性) ; 10:30-11:30(女性) ; 下午15:30-16:00(男性); 16:30-17:30(女性),https://www.facebook.com/share/p/16zPcuzfa2/
花蓮糖廠,花蓮縣光復鄉糖廠街19號,-,多座行動沐浴車,-
光復國小,光復鄉中山路三段75號,-,多座行動沐浴車,-
車站100米民宿,花蓮市國興一街18號,黃先生 0965-312180,開放時間：9/27 16：00 - 22：00 僅開放廁所+浴室,Threads
小窩活動共享空間,吉安鄉民治路242號後巷,-,9/26、27、28三天,-
國軍二支部補油庫沐浴站,光復車站正對面,-,-,Threads
慢城公園公廁,975花蓮縣鳳林鎮鳳林鎮中正路二段第五攤,-,投幣式熱水,-
洄瀾窩青年旅舍,花蓮縣花蓮市國聯一路83號,Line ID : @wowhostel; 洽詢專線：03-8330186,先LINE或電洽,-
白露梅室 營區,花蓮縣萬榮鄉紅葉228號,0938803979阿呈,距光復約20來分鐘的車程,https://www.facebook.com/share/p/1E6izzXo6A/
加得屋,花蓮縣吉安鄉南海三街61號,0912 132 199,距光復40分鐘車程,Facebook
太巴塱長老教會,976花蓮縣光復鄉中正路二段90號,(03)8702880,多座行動沐浴車,https://www.threads.com/@lakei.36/post/DPEM7qKiUGJ
裕豐汽車修護廠,光復鄉中興路330號,-,借廁所、借水清理、休息、洗澡,Threads
光復國小,花蓮縣光復鄉中山路三段75號,-,多座行動沐浴車,https://www.threads.com/@lakei.36/post/DPEM7qKiUGJ
鳳林國小,-,-,投幣式熱水,-
